INPUT:text	INPUT:part	GOLDEN:characteristic	HINT:text
рН метр Kellymeter PH-13	рН	name	ph относится к названию ("ph - метр")
рН метр Kellymeter PH-13	метр	name	метр относится к имени ("ph - метр")
рН метр Kellymeter PH-13	Kellymeter	producer	Так называется производитель
рН метр Kellymeter PH-13	PH-13	model	Это модель товара
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	Электронный	type	Это разновидность товара. Выбирайте "тип"
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	измеритель	name	это слово относится к названию
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	влажности	name	Будем считать, что это часть названия. Не бойтесь таких примеров
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	почвы	destination	Для чего следует использовать товар
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	с	type	Часть словосочетания "с логотипом".  Это особенность товара, или его тип
Электронный измеритель влажности ,температуры и освещеннсти почвы с логотипом	логотипом	type	Часть словосочетания "с логотипом".  Это особенность товара, или его тип
Батарея аккумуляторная 12-55	Батарея	name	Название товара
Батарея аккумуляторная 12-55	аккумуляторная	type	Тип товара
Батарея аккумуляторная 12-55	12-55	model	Это  модель товара
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	Балка	name	Название товара
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	продольная	type	Тип / разновидность товара
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	5-зубая	type	Это поле следует считать разновидностью
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	44х100	size	Размеры товара
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	(3.6/1.2)	size	Размеры балки
Балка продольная 5-зубая 44х100 (3.6/1.2) 1807	1807	model	Это номер модели
Элемент питания 9В	Элемент	name	Часть названия "Элемент питания"
Элемент питания 9В	питания	name	Часть названия "Элемент питания"
Элемент питания 9В	9В	physics	Напряжение батарейки - физическая величина
Батарейка Крона	Батарейка	name	Название
Батарейка Крона	Крона	type	Тип батарейки
Батарейка DURACELL Turbo	Батарейка	name	Название товара
Батарейка DURACELL Turbo	DURACELL	producer	Производитель
Батарейка DURACELL Turbo	Turbo	model	Модель батарейки
Батарейка Ultra ААА	Батарейка	name	Название товара - "батарейка"
Батарейка Ultra ААА	Ultra	model	Модель батарейки
Батарейка Ultra ААА	ААА	type	Тип батарейки. Внимание! Это не размер. В характеристике "размер" обязательно должно быть число и единица измерения
Лист А4 с печатью	Лист	name	Название товара
Лист А4 с печатью	А4	type	A4 - это тип листа бумаги. Внимание! Это не размер.  В характеристике "размер" обязательно  должно быть число и единица измерения
